ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_177,NA,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula_mucilaginosa
ASV_178,NA,Arthropoda,Insecta,Coleoptera,Scarabaeidae,NA,Scarabaeidae_sp
ASV_179,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_citrinum
ASV_180,NA,Arthropoda,Insecta,Lepidoptera,Tineidae,Opogona,Opogona_omoscopa
ASV_181,NA,Arthropoda,Insecta,Lepidoptera,Geometridae,Toulgoetia,Toulgoetia_cauteriata
ASV_182,NA,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_verrucosa
ASV_183,NA,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_destructivum
ASV_184,NA,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Neopestalotiopsis,Neopestalotiopsis_cubana
ASV_185,NA,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Arthonia,Arthonia_susa
ASV_186,NA,NA,NA,NA,NA,NA,NA
ASV_187,NA,Ascomycota,Leotiomycetes,NA,Myxotrichaceae,Myxotrichum,Myxotrichum_deflexum
ASV_188,NA,NA,NA,NA,NA,NA,NA
ASV_189,NA,Mucoromycota,Mucoromycetes,Mucorales,Lichtheimiaceae,Lichtheimia,Lichtheimia_ramosa
ASV_190,NA,Apicomplexa,Conoidasida,Eucoccidiorida,Eimeriidae,Eimeria,Eimeria_macyi
ASV_191,NA,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces_elegans
ASV_192,NA,Arthropoda,Arachnida,Araneae,Araneidae,Colaranea,Colaranea_viriditas
ASV_193,NA,Arthropoda,Insecta,Diptera,Tipulidae,NA,Tipulidae_sp._BOLD:AAF9030
ASV_194,NA,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_sp._DAOM_239516
ASV_195,NA,Arthropoda,Insecta,Lepidoptera,NA,NA,Lepidoptera_sp._NZAC_03011646
ASV_196,NA,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pseudofabraea,Pseudofabraea_citricarpa
ASV_197,NA,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Sydowia,Sydowia_polyspora
ASV_198,NA,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Neopestalotiopsis,Neopestalotiopsis_cubana
ASV_199,NA,NA,NA,NA,NA,NA,NA
ASV_200,NA,Arthropoda,Insecta,Coleoptera,Scarabaeidae,NA,Scarabaeidae_sp
ASV_201,NA,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala_lecanii-corni
ASV_202,NA,Arthropoda,Insecta,Diptera,Bombyliidae,NA,Bombyliidae_sp._BOLD-2016
ASV_203,NA,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Antarctomyces,Antarctomyces_pellizariae
ASV_204,NA,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_piriformis
ASV_205,NA,NA,NA,NA,NA,NA,NA
ASV_206,NA,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_levissima
ASV_207,NA,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Sporisorium,Sporisorium_scitamineum
ASV_208,NA,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida_buenavistaensis
ASV_209,NA,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Cercospora,Cercospora_sojina
